Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
Eritrea,6,,,,,6,,2,,20-Mar
Laos,6,,,,,6,,0.8,,23-Mar
Cabo Verde,5,,1,,,4,,9,2,19-Mar
Guyana,5,,1,,,4,,6,1,11-Mar
Zimbabwe,5,2,1,,,4,,0.3,0.07,19-Mar
Fiji,5,,,,,5,,6,,18-Mar
Montserrat,5,,,,,5,,1002,,17-Mar
St. Barth,5,2,,,,5,,506,,29-Feb
Syria,5,,,,,5,,0.3,,21-Mar
Nicaragua,4,2,1,1,,3,,0.6,0.2,18-Mar
Nepal,4,1,,,1,3,,0.1,,23-Jan
Angola,4,,,,,4,,0.1,,19-Mar
Congo,4,,,,,4,,0.7,,14-Mar
Vatican City,4,,,,,4,,4994,,05-Mar
Gambia,3,,1,,,2,,1,0.4,16-Mar
Sudan,3,,1,,,2,,0.07,0.02,12-Mar
Bhutan,3,1,,,,3,,4,,05-Mar
CAR,3,,,,,3,,0.6,,14-Mar
Chad,3,,,,,3,,0.2,,18-Mar
Liberia,3,,,,,3,,0.6,,15-Mar
Mauritania,3,,,,,3,,0.6,,12-Mar
Saint Lucia,3,,,,1,2,,16,,12-Mar
Sint Maarten,3,,,,,3,,70,,17-Mar
Somalia,3,1,,,,3,,0.2,,15-Mar
MS Zaandam,2,2,,,,2,,,,26-Mar
Anguilla,2,,,,,2,,133,,25-Mar
Belize,2,,,,,2,,5,,22-Mar
British Virgin Islands,2,,,,,2,,66,,24-Mar
Guinea-Bissau,2,,,,,2,,1,,24-Mar
Saint Kitts and Nevis,2,,,,,2,,38,,24-Mar
Turks and Caicos,2,,,,,2,,52,,22-Mar
Libya,1,,,,,1,,0.1,,23-Mar
Papua New Guinea,1,,,,,1,,0.1,,19-Mar
St. Vincent Grenadines,1,,,,,1,,9,,10-Mar
Timor-Leste,1,,,,,1,,0.8,,20-Mar
